center,target,opposite,center_label,target_label,opposite_label,target_dist,opposite_dist,self_emo_shift,self_time_dur,closest_time_dur
Ses01F_impro01_F005,Ses01F_impro01_F004,Ses01F_impro01_M003,neu,xxx,fru,2,1,1,0,0
Ses01F_impro01_F012,Ses01F_impro01_F011,Ses01F_impro01_M010,ang,fru,fru,2,1,1,0,0
Ses01F_impro01_M011,Ses01F_impro01_M010,Ses01F_impro01_F012,ang,fru,ang,2,1,1,0,0
Ses01F_impro01_F014,Ses01F_impro01_F013,Ses01F_impro01_M012,neu,fru,xxx,2,1,1,0,0
Ses01F_impro01_M013,Ses01F_impro01_M012,Ses01F_impro01_F014,ang,xxx,neu,2,1,1,0,0
Ses01F_impro02_M001,Ses01F_impro02_M000,Ses01F_impro02_F001,sad,xxx,sad,2,1,1,0,0
Ses01F_impro02_F003,Ses01F_impro02_F002,Ses01F_impro02_M001,neu,sad,sad,1,2,1,0,0
Ses01F_impro02_F004,Ses01F_impro02_F003,Ses01F_impro02_M002,sad,neu,xxx,2,1,1,0,0
Ses01F_impro02_F006,Ses01F_impro02_F005,Ses01F_impro02_M004,neu,sad,xxx,2,1,1,0,0
Ses01F_impro02_M005,Ses01F_impro02_M004,Ses01F_impro02_F006,sad,xxx,neu,2,1,1,0,0
Ses01F_impro02_F008,Ses01F_impro02_F007,Ses01F_impro02_M006,sad,xxx,xxx,2,1,1,0,0
Ses01F_impro02_F010,Ses01F_impro02_F009,Ses01F_impro02_M006,sad,xxx,xxx,1,3,1,0,0
Ses01F_impro02_M009,Ses01F_impro02_M008,Ses01F_impro02_F011,sad,fru,xxx,1,2,1,0,0
Ses01F_impro02_F012,Ses01F_impro02_F011,Ses01F_impro02_M009,sad,xxx,sad,3,1,1,0,0
Ses01F_impro02_M012,Ses01F_impro02_M011,Ses01F_impro02_F014,neu,sad,sad,2,1,1,0,0
Ses01F_impro02_M013,Ses01F_impro02_M012,Ses01F_impro02_F015,sad,neu,sad,2,1,1,0,0
Ses01F_impro02_F016,Ses01F_impro02_F015,Ses01F_impro02_M013,neu,sad,sad,2,1,1,0,0
Ses01F_impro02_F017,Ses01F_impro02_F016,Ses01F_impro02_M014,sad,neu,sad,2,1,1,0,0
Ses01F_impro02_M015,Ses01F_impro02_M014,Ses01F_impro02_F017,neu,sad,sad,2,1,1,0,0
Ses01F_impro02_F018,Ses01F_impro02_F017,Ses01F_impro02_M015,neu,sad,neu,2,1,1,0,0
Ses01F_impro02_F019,Ses01F_impro02_F018,Ses01F_impro02_M015,sad,neu,neu,1,2,1,0,0
Ses01F_impro03_M003,Ses01F_impro03_M002,Ses01F_impro03_F002,hap,sur,hap,2,1,1,0,0
Ses01F_impro03_F004,Ses01F_impro03_F003,Ses01F_impro03_M004,hap,xxx,xxx,2,1,1,0,0
Ses01F_impro03_M006,Ses01F_impro03_M005,Ses01F_impro03_F006,neu,xxx,hap,2,1,1,0,0
Ses01F_impro03_M007,Ses01F_impro03_M006,Ses01F_impro03_F007,hap,neu,xxx,2,1,1,0,0
Ses01F_impro03_F008,Ses01F_impro03_F007,Ses01F_impro03_M007,hap,xxx,hap,2,1,1,0,0
Ses01F_impro03_M008,Ses01F_impro03_M007,Ses01F_impro03_F008,neu,hap,hap,2,1,1,0,0
Ses01F_impro03_M011,Ses01F_impro03_M010,Ses01F_impro03_F011,neu,xxx,xxx,2,1,1,0,0
Ses01F_impro03_F012,Ses01F_impro03_F011,Ses01F_impro03_M011,hap,xxx,neu,2,1,1,0,0
Ses01F_impro03_M013,Ses01F_impro03_M012,Ses01F_impro03_F013,hap,xxx,hap,2,1,1,0,0
Ses01F_impro03_F015,Ses01F_impro03_F014,Ses01F_impro03_M014,hap,xxx,hap,2,1,1,0,0
